维度,字段,四合院,徽派,土楼,窑洞,竹楼,骑楼,一颗印,来源
地理,集中区,华北平原,皖南-赣北,闽西南,陕北陇东,滇西南,华南沿海,滇中,文献1 p.18；文献3 热力图
地理,地形适配,平坦-宅基地,丘陵-河谷,丘陵,黄土塬,坝子-河谷,滨海-台地,高原坝子,文献3 地形匹配度 0-1
形制,占地/㎡,837,147,1500*,175,129,81,115,*圆楼外径 46 m 实测 文献1
形制,核心礼仪空间面积占比,6.7 % 堂屋,22 % 正厅,25 % 祖堂,30 % 主窑,35 % 上层正房,44 % 一层厅堂,28 % 明间,文献1+我实测
形制,层数,1,2-3,3-5,1,2,2-4,2,文献1 表3-2
形制,建造周期 人·月,26,32,65,18,14,22,16,文献3 建造统计表
气候,年采暖能耗 kWh/㎡,38,41,35,17.4,0,31,29,文献2 表5+我前面窑洞数据
气候,夏季降温能耗 kWh/㎡,9,12,8,0,3.5,11,7,文献2 表6
维护,50 年维护/初建费,21 %,22 %,19 %,18 %,15 %,20 %,17 %,文献2 图7+文献3 成本表
文化,符号频率 Top1,蝙蝠纹,马头墙,土墙纹,窗花,孔雀纹,岭南果,格子窗,文献2 符号统计
文化,文化认同评分/10,9.2,8.6,8.8,8.5,8.5,7.9,8.3,文献2 问卷 n=2180
现代,元素复用率*,12 %,30 %,14 %,拱券 8 %,架空 18 %,骑廊 25 %,紧凑 22 %,*2020-24 新建项目 文献3
现代,节能提升幅度,14 %,19 %,17 %,26 %,21 %,15 %,20 %,文献2 案例汇总
